zvit_date;registration_area;total_area;edrpou_hosp;legal_entity_name_hosp;lat;lng;new_susp;new_confirm;active_confirm;new_death;new_recover;pending_susp
2020-01-27;Львівська;Львівська;01984263;КНП ЛЬВІВСЬКОЇ ОБЛАСНОЇ РАДИ ЛЬВІВСЬКА ОБЛАСНА ІНФЕКЦІЙНА КЛІНІЧНА ЛІКАРНЯ;49.8328963;24.05019607;1;0;0;0;0;1
2020-01-29;Львівська;Львівська;01984263;КНП ЛЬВІВСЬКОЇ ОБЛАСНОЇ РАДИ ЛЬВІВСЬКА ОБЛАСНА ІНФЕКЦІЙНА КЛІНІЧНА ЛІКАРНЯ;49.8328963;24.05019607;1;0;0;0;0;2
2020-01-29;Івано-Франківська;Івано-Франківська;01993291;КНП ІВАНО-ФРАНКІВСЬКА ОБЛАСНА КЛІНІЧНА ІНФЕКЦІЙНА ЛІКАРНЯ ІВАНО-ФРАНКІВСЬКОЇ ОБЛАСНОЇ РАДИ;48.93880667;24.71933318;1;0;0;0;0;1
2020-01-29;Житомирська;Житомирська;42779217;ДИТЯЧА ЛІКАРНЯ ІМЕНІ В.Й. БАШЕКА ЖИТОМИРСЬКОЇ МІСЬКОЇ РАДИ;50.25230668;28.67549947;1;0;0;0;0;1
2020-01-31;Житомирська;Житомирська;42779217;ДИТЯЧА ЛІКАРНЯ ІМЕНІ В.Й. БАШЕКА ЖИТОМИРСЬКОЇ МІСЬКОЇ РАДИ;50.25230668;28.67549947;0;0;0;0;0;1
2020-01-31;Івано-Франківська;Івано-Франківська;01993291;КНП ІВАНО-ФРАНКІВСЬКА ОБЛАСНА КЛІНІЧНА ІНФЕКЦІЙНА ЛІКАРНЯ ІВАНО-ФРАНКІВСЬКОЇ ОБЛАСНОЇ РАДИ;48.93880667;24.71933318;0;0;0;0;0;1
2020-01-31;Львівська;Львівська;01984263;КНП ЛЬВІВСЬКОЇ ОБЛАСНОЇ РАДИ ЛЬВІВСЬКА ОБЛАСНА ІНФЕКЦІЙНА КЛІНІЧНА ЛІКАРНЯ;49.8328963;24.05019607;0;0;0;0;0;1
2020-01-31;Донецька;Донецька;31338129;КНП ІНФЕКЦІЙНА ЛІКАРНЯ М. МИРНОГРАД;48.26880657;37.27641982;1;0;0;0;0;1
2020-02-10;Миколаївська;Миколаївська;43443474;КНП МИКОЛАЇВСЬКИЙ ОБЛАСНИЙ ЦЕНТР ЛІКУВАННЯ ІНФЕКЦІЙНИХ ХВОРОБ МИКОЛАЇВСЬКОЇ ОБЛАСНОЇ РАДИ;46.93657128;32.0356777;1;0;0;0;0;1
2020-02-10;Львівська;Львівська;01984263;КНП ЛЬВІВСЬКОЇ ОБЛАСНОЇ РАДИ ЛЬВІВСЬКА ОБЛАСНА ІНФЕКЦІЙНА КЛІНІЧНА ЛІКАРНЯ;49.8328963;24.05019607;0;0;0;0;0;0
2020-02-10;Івано-Франківська;Івано-Франківська;01993291;КНП ІВАНО-ФРАНКІВСЬКА ОБЛАСНА КЛІНІЧНА ІНФЕКЦІЙНА ЛІКАРНЯ ІВАНО-ФРАНКІВСЬКОЇ ОБЛАСНОЇ РАДИ;48.93880667;24.71933318;0;0;0;0;0;0
2020-02-10;Донецька;Донецька;31338129;КНП ІНФЕКЦІЙНА ЛІКАРНЯ М. МИРНОГРАД;48.26880657;37.27641982;0;0;0;0;0;0
2020-02-10;Житомирська;Житомирська;42779217;ДИТЯЧА ЛІКАРНЯ ІМЕНІ В.Й. БАШЕКА ЖИТОМИРСЬКОЇ МІСЬКОЇ РАДИ;50.25230668;28.67549947;0;0;0;0;0;0
2020-02-12;Донецька;Донецька;31338129;КНП ІНФЕКЦІЙНА ЛІКАРНЯ М. МИРНОГРАД;48.26880657;37.27641982;0;0;0;0;0;0
2020-02-12;Чернівецька;Чернівецька;Самоізоляція;0;0.0;0.0;4;0;0;0;0;4
2020-02-12;Львівська;Львівська;01984263;КНП ЛЬВІВСЬКОЇ ОБЛАСНОЇ РАДИ ЛЬВІВСЬКА ОБЛАСНА ІНФЕКЦІЙНА КЛІНІЧНА ЛІКАРНЯ;49.8328963;24.05019607;0;0;0;0;0;0
2020-02-12;Івано-Франківська;Івано-Франківська;01993291;КНП ІВАНО-ФРАНКІВСЬКА ОБЛАСНА КЛІНІЧНА ІНФЕКЦІЙНА ЛІКАРНЯ ІВАНО-ФРАНКІВСЬКОЇ ОБЛАСНОЇ РАДИ;48.93880667;24.71933318;0;0;0;0;0;0
2020-02-12;Житомирська;Житомирська;42779217;ДИТЯЧА ЛІКАРНЯ ІМЕНІ В.Й. БАШЕКА ЖИТОМИРСЬКОЇ МІСЬКОЇ РАДИ;50.25230668;28.67549947;0;0;0;0;0;0
2020-02-12;Миколаївська;Миколаївська;43443474;КНП МИКОЛАЇВСЬКИЙ ОБЛАСНИЙ ЦЕНТР ЛІКУВАННЯ ІНФЕКЦІЙНИХ ХВОРОБ МИКОЛАЇВСЬКОЇ ОБЛАСНОЇ РАДИ;46.93657128;32.0356777;0;0;0;0;0;1
2020-02-23;Чернівецька;Чернівецька;Самоізоляція;0;0.0;0.0;0;0;0;0;0;0
2020-02-23;Миколаївська;Миколаївська;43443474;КНП МИКОЛАЇВСЬКИЙ ОБЛАСНИЙ ЦЕНТР ЛІКУВАННЯ ІНФЕКЦІЙНИХ ХВОРОБ МИКОЛАЇВСЬКОЇ ОБЛАСНОЇ РАДИ;46.93657128;32.0356777;0;0;0;0;0;0
2020-02-23;Житомирська;Житомирська;42779217;ДИТЯЧА ЛІКАРНЯ ІМЕНІ В.Й. БАШЕКА ЖИТОМИРСЬКОЇ МІСЬКОЇ РАДИ;50.25230668;28.67549947;0;0;0;0;0;0
2020-02-23;Івано-Франківська;Івано-Франківська;Самоізоляція;0;0.0;0.0;3;0;0;0;0;3
2020-02-23;Івано-Франківська;Івано-Франківська;01993291;КНП ІВАНО-ФРАНКІВСЬКА ОБЛАСНА КЛІНІЧНА ІНФЕКЦІЙНА ЛІКАРНЯ ІВАНО-ФРАНКІВСЬКОЇ ОБЛАСНОЇ РАДИ;48.93880667;24.71933318;0;0;0;0;0;0
